Date,AAPL,AMZN,GOOGL,MSFT,TSLA,BRK_B,META,NVDA,UNH,SP_500,CPI,Total_nonfarm,Total_private,Average_weekly_earnings,FEDFUNDS,GDP
2016-10,0.04498870939725545,0.010581540103147893,0.023432055749128863,0.044561175706781635,0.0013797503097019651,0.0002079434393844953,0.031086464109974146,-0.06194977240244534,0.011639603391291884,-0.012395027150349415,2.01802556175075,124.0,132.0,890.96,0.4,134.14757926041494
2016-11,0.011635638297872388,-0.018037835459744928,-0.04052624539474482,0.3221832975477454,-0.056743683005785486,0.09785169785169767,-0.08855389743201271,-0.024365261257570027,0.11839488636363626,0.035304115918075855,2.45883151623452,164.0,178.0,888.71,0.41,251.39845505863605
2016-12,0.03450542228064413,0.04525089605734777,0.0178811304017235,0.1896153846153847,0.13246369754894646,0.02992046458780463,-0.030917553191489353,0.0058661417322835,0.024766622213755037,0.021152215222883002,2.03838510774881,157.0,165.0,893.37,0.54,222.4498664076004
2017-01,0.030177890724269355,0.03857693956279468,0.020281121997983154,-0.021518123360994304,0.15228848821081828,0.0090708506987006,0.1163807890222984,0.07473221391574353,0.001549234678069034,0.00995287816273682,3.43630577482943,259.0,252.0,894.06,0.65,265.8672361626442
2017-02,-0.012025901942645715,0.1314898885678911,0.033984136668700385,-0.03810852485498205,-0.020263601348098247,0.03802235179786212,0.05085657217484831,0.03362670713201816,0.023821309243905422,0.040483373057404924,3.2923463387532204,200.0,204.0,896.81,0.66,202.1801199336247
2017-03,0.02450062421972546,0.04843886781441484,-0.0006136779370979229,0.04019083969465638,0.141449570927497,-0.02042129900526629,0.04035382703414,0.030007634036056222,-0.005016014987611123,-0.0005325263727345498,1.91438367511723,73.0,68.0,895.57,0.79,235.45050915024007
2017-04,0.04965727341964951,0.0025744503200668283,0.09703246224153605,-0.033500898983598114,0.11157571843719727,-0.006749895466220629,0.05052350502424283,0.08190421892816412,0.06055636540330435,0.012203888668059163,1.55365836257901,175.0,174.0,900.25,0.9,181.2809791392561
2017-05,0.023508924684370987,0.06856825595114162,0.07234660925726576,0.3922930903568717,0.08992365155674323,-0.0060740918931921515,0.021404682274247414,0.053929576425703285,0.01305767138193673,0.009169980949834679,2.1132188709843502,155.0,165.0,901.62,0.91,165.9758794745334
2017-06,-0.024812136679427194,-0.061830226667532705,-0.05241866674697097,0.004690098982902921,0.07704984297751938,0.02868034125975664,-0.005239030779305717,-0.019879999999999995,0.04669568658488337,0.005617582162831107,1.8968337862046696,239.0,220.0,903.34,1.04,169.67761730739102
2017-07,0.0657167781331782,0.03772931810315,0.016959925422938792,0.11914778124575928,-0.07755915091577197,0.0275866125522028,0.13232389730085578,0.039719626168224303,0.03478260869565216,0.01924090235468477,2.1220936834140702,190.0,188.0,906.1,1.15,149.27418062917138
2017-08,0.009959072305593506,0.09166110740493649,-0.01427083333333338,0.009457984721716916,0.05379872757268612,0.03234115626788784,-0.009302325581395316,-0.04352092635297583,0.027872018372566434,-0.005367658343901695,2.2747579876520403,221.0,208.0,907.82,1.16,140.99289256795578
2017-09,-0.0012157233553965069,-0.06373747250061097,0.020817922434745843,0.07555555555555572,-0.033063215952481934,0.01796506792348217,-0.009213615023474137,-0.014968708320508907,-0.005636520591073039,0.019211012527155683,2.8702567714483,14.0,16.0,909.29,1.15,157.42228566929788
2017-10,0.14092507438463622,0.09588146987794528,0.06935817805383027,0.14547688184051819,-0.06327142211516101,0.024347731357917093,0.06953740448972327,0.15507598087719127,0.06929833520580121,0.026307192146488287,2.4249630240346502,271.0,277.0,910.57,1.15,150.5740324320191
2017-11,-0.010075865339023167,0.015068493150684937,0.006718296224588602,-0.028917965017647148,-0.03644250001171042,0.012176964798468531,-0.020601428808772217,0.052389540126239746,0.06896222360189133,0.02249232333976454,2.42039295861358,216.0,217.0,915.63,1.16,155.83892159877104
2017-12,0.025386181295653096,0.0005280760429502049,0.014952785737638776,-0.003714859437751085,0.024695319070328316,0.050696086157079094,0.006502685891998901,0.013066575272041862,0.0005361211633828179,0.02096486998515536,2.95574718908234,160.0,166.0,919.43,1.3,149.53001975828863
2018-01,0.09482657946981204,-0.021405113769645823,0.121573866166425,0.23839564647787972,0.09908580699948287,0.07495000000000004,0.05825842696629216,0.2274707151012813,0.08434918508595676,0.05327333915921379,4.17000041826154,171.0,186.0,918.82,1.41,151.6231544734499
2018-02,0.011626666666666704,0.07424941571283027,-0.05221277063042209,0.0029620949497907536,0.01456363063455814,-0.01855900274431373,-0.032223814832510446,0.04699924205884378,-0.03467303574369962,-0.02776081146444182,2.01327934554867,330.0,304.0,922.88,1.42,124.83467927732636
2018-03,-0.04913538591311679,-0.06390047975008356,-0.09874331550802146,-0.09085598377281945,-0.27251570962403265,-0.0612322274881516,-0.14893033461327485,-0.07470171305223394,-0.06415834826379999,-0.05061043365846231,1.9619000737253895,182.0,173.0,925.98,1.51,168.47710361675774
2018-04,0.06819693945442439,-0.03382016767060864,0.022952700230417004,0.012886873951379803,0.14472522266993398,-0.003483441033925818,0.12014179825974854,0.12553342816500715,0.09855046038836723,0.02319452572473343,2.93200914809488,196.0,184.0,928.05,1.69,157.6645719472585
2018-05,0.030727706841067248,0.15475235921791158,0.045996790471955394,0.10884965108902518,-0.021799325636047834,-0.015704949592177893,0.08101731975372584,0.025592417061611448,0.01331950207468883,0.017169772527616242,2.9818325508401204,270.0,264.0,931.16,1.7,175.91291082815798
2018-06,-0.0036257427736932158,-0.0049674180108963085,0.04649722735674669,-0.032610250297973854,0.23021522616765797,-0.030006691028874283,0.0503007398733166,0.057917436845347975,0.0028254371237868953,0.002260215069570556,2.6321178885371204,262.0,236.0,933.23,1.82,178.36327079793475
2018-07,0.07641766905893044,0.02152557839927006,0.08778514717700994,0.0009035204442035885,-0.17286980000254717,0.0559269871590788,-0.13505980133792828,0.04047175305765878,0.03772968558595337,0.030288251751841647,2.11149391449985,178.0,173.0,935.3,1.91,223.74529527622283
2018-08,0.04878392337308675,0.19027850761954795,0.016643528103206087,0.13658744747899149,0.0333619048107866,0.05527638190954774,0.03796800843733532,0.1234319811473895,0.0556386243802628,0.03154751524167798,2.2967112867851003,282.0,246.0,939.44,1.91,179.97933167255638
2018-09,0.022429153422572373,-0.007593483731402582,-0.03842805919134967,-0.015407942238267152,-0.10509951175415852,0.03038095238095236,-0.04978831498729886,-0.0012904833084204591,-0.014537050842403376,0.004022950830984418,2.3337233555462205,108.0,108.0,941.85,1.95,195.9732644151716
2018-10,-0.07667046151151585,-0.03518839806041193,-0.1128570123495753,-0.23128932431837848,0.23044518324055221,-0.05162214622423508,-0.07918968692449363,-0.21673210570691628,-0.013276344655420194,-0.07025013487833469,2.60626268747923,277.0,285.0,943.58,2.19,221.75458795469208
2018-11,0.049935979513444306,-0.16871080781999265,0.025678711851713252,-0.2475530879743575,0.027939538009770216,0.058574143560255254,-0.10800000000000005,0.069752036637176,0.08479319201134666,0.01188645771732714,3.7237636017007705,196.0,200.0,943.59,2.2,247.26808408572265
2018-12,-0.08500451671183375,-0.12069443674080643,-0.03450069822841654,-0.1416907551092855,-0.011821648448573084,-0.059844404548174746,-0.027556777086648363,-0.10044656147662981,-0.12343192338951908,-0.08723189760972479,2.9117770150544304,222.0,206.0,949.79,2.27,270.8662692797613
2019-01,0.02478033369533015,0.04781429382451279,0.051435485853114415,0.013737075332348725,-0.1089110229891693,0.0022033981295598937,0.23168464113053186,0.12049907333862843,0.09038135934854477,0.07465165230057533,2.88960472562634,269.0,258.0,951.51,2.4,263.3137053343678
2019-02,0.0793834296724471,0.049425079766419716,0.0060778249298712676,0.1292437709456505,0.05953146257232119,-0.009771350400625366,-0.019504830917874336,-0.034025460023038016,-0.07682638272700396,0.03821276564053501,2.97821762626109,1.0,-6.0,952.54,2.4,205.6685126562806
2019-03,0.05382006426276318,0.08897430013767794,0.05467381590705983,0.1609032258064516,-0.12611176174551889,-0.006611407144266841,0.024758268152983813,0.09254242470570237,-0.021665999199038832,0.01440402279680495,3.2102411483228703,147.0,132.0,957.72,2.41,250.9690015099622
2019-04,0.0994325400186331,0.06969393668018747,0.008854581504516275,-0.010603534511503802,-0.1314693218514531,0.07936823283997213,0.16707734839834132,0.08033225492281344,-0.025420606656023494,0.03849349602407121,2.82946232379089,210.0,185.0,956.66,2.42,191.58610203098908
2019-05,-0.042985902472844915,-0.1321284349453364,-0.0713823773968404,-0.22968904466612744,-0.23531197907952384,-0.08742867660592675,-0.07163087697615736,-0.07258173151650167,0.016255040322580544,-0.05821649631954888,2.5585351456762795,85.0,87.0,958.73,2.39,241.48977946583665
2019-06,0.08323271351525388,0.1273903421664871,-0.025695524763937577,0.20315006562636717,0.19389789303079413,0.0740217829770069,0.05696694031506551,0.06653035457902465,0.018805538334366653,0.06029680241490879,2.96310499495169,182.0,180.0,961.82,2.38,316.53911356926506
2019-07,0.042803002155012405,0.0892893094423192,0.13705522497516776,0.055636363636363595,0.09959477896108655,-0.02441314553990605,0.0335869850432956,-0.005756639254098735,0.03983772819472614,0.028394716564266485,3.2008888117851098,194.0,160.0,962.12,2.4,262.17888324589063
2019-08,-0.008408750801681799,-0.028925237963219625,-0.020018450937650513,-0.030543116316454247,-0.05699382716049379,-0.01819056785370549,-0.05163747143945158,-0.05301062635990544,-0.08836610486891389,-0.026234823719755076,2.6257566309874503,207.0,157.0,968.7,2.13,317.7747732211679
